Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
BhavaninagarBSK II Stage,Uttarahalli,BDA,Identified,,,,,,Undeclared,6.25,780,4790,2472,2318,863,522,3405
Yarabnagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,5.00,694,4256,2205,2051,1106,942,2208
Jawarharlalnagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,4.05,518,3200,1700,1500,728,530,1942
Mariyammanagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,2.00,156,945,496,449,415,307,223
Someswar,Uttarahalli,BDA,Identified,,,,,,Undeclared,3.02,243,1695,905,790,1084,318,293
Narayanaraju Garden,Uttarahalli,BDA,Identified,,,,,,Undeclared,0.18,45,374,200,174,207,62,105
"Vijaya Colony,BSK II Stage",Uttarahalli,BDA,Identified,,,,,,Undeclared,3.20,332,2000,1105,895,572,508,920
Near B.S.M.College,Uttarahalli,BDA,Identified,,,,,,Undeclared,1.06,129,775,418,357,369,117,289
"R.K.Mutt,Uttarhalli",Uttarahalli,BDA,Identified,,,,,,Undeclared,1.07,122,728,398,330,349,105,274
"K.R.Road,Uttarhalli",Uttarahalli,BDA,Identified,,,,,,Undeclared,0.20,47,260,142,118,130,59,71
Kumarswamy II Stage,Uttarahalli,BDA,Identified,,,,,,Undeclared,2.10,225,1364,710,654,629,320,415
J.C.Nagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,0.15,27,160,90,70,65,35,60
"Sy.No.21,Karisandra,Sarkki",Uttarahalli,BDA,Identified,,,,,,Undeclared,0.38,75,465,250,215,178,98,189
"Sy.No.21,Karisandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,0.14,25,150,88,62,55,35,60
From Kumar park to Kumarswamy layout,Uttarahalli,BDA,Identified,,,,,,Undeclared,0.10,15,90,50,40,37,25,28
"Kalidasnagar, BSK II Stage",Uttarahalli,BDA,Identified,,,,,,Undeclared,4.13,185,1135,598,537,479,232,424
Yellamma Devi Nagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,3.02,84,492,262,230,224,106,102
Arundathinagar,Uttarahalli,BCC,Identified,,,,,,Undeclared,0.25,38,235,132,103,107,50,78
