Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
Gurappa Garden,Chamrajpet,Govt. ,HD/MCS/233/79,26-01-1980,,,Core,,Declared,0.28,160,960,560,400,40,20,900
Anandapuram,Chamrajpet,Pvt. ,HD/99/KSCB/2001,19-03-2001,,,Core,,Declared,2.05,656,3280,1750,1530,2250,750,280
Near Badekhan All-Afiz College,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,3.00,176,880,440,440,0,480,400
Hosaguddadahalli,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,1.10,141,705,350,355,0,0,705
Nanjamba Agrahara,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,0.07,171,855,430,425,0,0,855
Kumbargundi,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,0.01,37,185,95,90,0,0,185
Muniswamappa Garden,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,0,38,190,100,90,0,0,190
Amir Khader Garden,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,0,166,830,410,420,0,0,830
Behind Minerva Mill,Chamrajpet,BCC,Identified,,,,Core,,Undeclared,0.30,250,1250,750,500,390,220,640
,,,,,,,,,,,,,,,,,
Abhaya garden ( Gulbarga slum ),Shantinagar,PVT,KSA/CR/22/05-06,23/6/2006,,,,,Declared,0.15,75,375,200,175,125,25,225
"Jyothinivas, Kormangala",Shantinagar,Pvt.,KSA/CR/15/08-09,23/12/2008,,,,,Declared,0.08,52,300,175,125,,,300
Thimmarayappa Garden,Shantinagar,PVT,KSA/CR/7/98-99,06-10-1998,,,,,Declared,1768.35SQM,65,317,167,150,0,0,317
Puduppucherry ,Shantinagar,Pvt. ,,,,,,,Declared,0.15,228,1399,713,686,1351,0,48
Veerakesari,Shantinagar,Pvt./ Govt.,HUD/176/MCS/78,23-01-1981,,,,,Declared,0.13,62,340,148,192,336,0,4
Maya Bazar,Shantinagar,Defence,HUD/188/MCS/81/84-85,18-10-1984,,,,,Declared,6.18,537,2804,1416,1388,2294,69,441
Shaktivelu,Shantinagar,Pvt. Land,KSA/CR/27/87-88,24-12-1987,,,,,Declared,0.17,156,900,479,421,628,0,272
Venkataswamy Choutry(shifted),Shantinagar,Pvt. Land,De- notified,1/1/99,,,,,Declared,0.31,110,660,420,240,450,110,100
Swasthi Road,Shantinagar,Pvt. Land,Identified,,,,,,Undeclared,1.10,32,111,55,56,30,29,52
Someswar Temple,Shantinagar,Pvt. Land,Identified,,,,,,Undeclared,2.00,120,637,336,301,554,31,52
Ambedkarnagar(Sc/St) Ejipura,Shantinagar,BCC,Identified,,,,,,Undeclared,0.15,43,206,95,111,194,0,12
Viveknagar Memorial Church,Shantinagar,BCC,Identified,,,,,,Undeclared,1.24,47,241,117,124,241,0,0
Jalakanteswar,Shantinagar,BCC,Identified,,,,,,Undeclared,1.30,1000,6000,4200,1800,0,6000,0
Deenabandunagar,Shantinagar,BCC,Identified,,,,,,Undeclared,1.15,1000,2000,1150,850,0,0,2000
Andra Lane,Shantinagar,BCC,Identified,,,,,,Undeclared,2.10,1300,2000,1200,800,902,604,494
Rajendranagar,Shantinagar,BCC,Identified,,,,,,Undeclared,4.00,2500,9000,4825,4175,0,0,9000
Sonnehalli,Shantinagar,BDA,Identified,,,,,,Undeclared,2.00,350,2000,999,1001,0,0,2000
Sonnehalli Layout,Shantinagar,BDA,Identified,,,,,,Undeclared,2.00,401,1840,1049,791,0,0,1840
Hakkithimmanahalli,Shantinagar,BDA,Identified,,,,,,Undeclared,2.00,116,560,360,200,0,0,560
,,,,,,,,,,,,,,,,,
Okkaligar Sangha,Basavanagudi,Pvt./BCC,HUD/88/MCS/76,13-10-1980,,,,,Declared,2.00,53,353,170,183,25,0,328
"Sanyasikunte,Gavipura",Basavanagudi,KHB,KSA/CR-41/95-96,25-03-1996,,,,,Declared,1.32,421,1080,562,518,985,32,63
"Bhovi Colony,Thyagarajnagar",Basavanagudi,Pvt.,KSA/CR/36/87-88,22-07-1988,,,,,Declared,1.00,68,355,169,186,119,50,186
Kempegowadanagar,Basavanagudi,BCC,KSA/CR/31/88-89,02-03-1989,,,,,Declared,2.20,171,791,377,414,431,82,278
"Sy.No.25,Gavipura",Basavanagudi,Govt.,HUD/142/mcs/86,19-08-1986,,,,,Declared,3.20,340,1487,765,722,356,272,859
Slum Behind Ashakthposahksaba,Basavanagudi,Pvt.,KSA/CR-17/91-92,11-02-1993,,,,,Declared,0.23,146,1550,799,751,30,59,1461
Madival Machaiah,Basavanagudi,Sangh,KSA/CR34/87-88,25-01-1989,,,,,Declared,0.30,77,369,187,182,0,0,369
Sy.No.1 to 72 Gavipura,Basavanagudi,BDA,Identified,,,,,,Undeclared,3.05,313,1605,820,785,500,500,605
Chikkana Garden,Basavanagudi,BCC,Identified,,,,,,Undeclared,0.25,63,355,169,186,119,50,186
"Bhuvaneswari, Kempambudikere",Basavanagudi,BCC,Identified,,,,,,Undeclared,0.31,100,600,390,210,100,100,400
Chamarajpete Slum,Basavanagudi,Pvt.,Identified,,,,,,Undeclared,6.30,17,89,38,51,72,0,17
,,,,,,,,,,,,,,,,,
"16:2,Bhovi Colony, Jalahalli",Yelahanka,Pvt.,Identified,,,,,,Undeclared,0.30,200,1150,650,500,650,200,300
Bhuvaneswarinagar,Yelahanka,Pvt.,Identified,,,,,,Undeclared,0.33,195,1000,600,400,200,300,500
Anand Talkies,Yelahanka,Pvt.,Identified,,,,,,Undeclared,2.00,230,1300,800,500,300,500,500
"Bhovi Colony,Doddabomasandra",Yelahanka,Pvt.,Identified,,,,,,Undeclared,0.25,18,80,40,40,30,0,50
Farida Mohalla,Yelahanka,Pvt.,Identified,,,,,,Undeclared,1.00,410,2439,1188,1251,376,46,2017
Thimmarayappa Garden,Yelahanka,Pvt.,Identified,,,,,,Undeclared,2.10,226,902,466,436,829,57,16
Muniyappa Garden,Yelahanka,Pvt.,Identified,,,,,,Undeclared,1.00,205,1026,527,499,606,218,202
M.N.K.Thota,Yelahanka,Pvt.,Identified,,,,,,Undeclared,0.25,32,113,61,52,63,16,34
Lingarajpur Block A & B,Yelahanka,BDA,Identified,,,,,,Undeclared,1.10,1205,8435,4010,4425,2500,2500,3425
Lingarajpur Block E & R,Yelahanka,BDA,Identified,,,,,,Undeclared,5.25,446,3122,1504,1618,1000,1000,1122
Ramachandrapura,Yelahanka,Pvt/ Govt,KSA/CR-18/2002-03,10-04-2004,,,,,Declared,2.00,150,320,150,170,50,50,220
"Dr.Ambedkar Slum, Gedhalahalli",Yelahanka,BDA,KSA/CR-01/09-10,29-4-2009,,,,,Declared,0.14.5,67,350,200,150,0,0,350
A.K.Colony,Yelahanka,Govt.,xxx,1/1/98,,,,,Declared,1.15,150,900,500,400,200,200,500
"Sy.No.31,A.K.Colony",Yelahanka,Govt.,xxx,1/1/96,,,,,Declared,2.10,145,700,400,300,300,100,300
A.D.Colony(Powrakarmika colony),Yelahanka,Govt.,xxx,1/1/96,,,,,Declared, 3-38,110,600,400,200,200,100,300
Devarjeevanahalli,Yelahanka,Govt.,KSA/CR-11/94/95,08-07-1994,,,,,Declared,1.15,420,2463,1463,1000,1000,463,1000
Modi Road,Yelahanka,Pvt.,                                                                                                                                 ,1/1/94,,,,,Declared,1.00,65,386,186,200,60,0,326
Kuntigrama(Hakkipikki colony),Yelahanka,Govt.,KSA/CR-28/95-96,22-08-1997,,,,,Declared,3.25,129,860,460,400,0,0,860
Pillappa Garden(Bharath Matha),Yelahanka,BDA,KSA/CR-5/96-97,06-08-1997,,,,,Declared,33600sf,167,885,485,400,0,0,885
Nagasettihalli,Yelahanka,BDA,,,,,,,Declared,1.17,215,550,,,,,550
"N.P.Factory,Kavalbairasandra",Yelahanka,Govt.,KSA/CR-1/91-92,23-09-1992,,,,,Declared,1.27,160,1000,700,300,300,200,500
Kanteeravanagar,Yelahanka,Govt./ Pvt,KSA/CR-61/84-85,04-02-1986,,,,,Declared,10.21,1200,7200,4000,3200,2000,2000,3200
Behind Vinayaka Talkies,Yelahanka,Govt.,KSA/CR-5/93-94,29-08-1997,,,,,Declared,3.01,228,1140,700,440,500,200,440
Edga Mohalla,Yelahanka,Govt.,KSA/CR-4/93-94,29-08-1997,,,,,Declared,2.07,101,610,400,210,200,100,310
"Tank Mohalla, Kere Angala",Yelahanka,BDA/ Def.,KSA/CR-6/93-94,21-04-1997,,,,,Declared,5.25,272,1632,950,682,500,302,830
,,,,,,,,,,,,,,,,,
"3rd Cross,Gangenahalli",Jayamahal,Pvt.,KSA/CR-10/94-95,08-07-1994,,,,,Declared,0.20,120,600,300,300,200,100,300
Hill Top Slum,Jayamahal,Forest,KSA/CR/44/0101,29.6.02,,,,,Declared,1.32,250,1000,600,400,400,400,200
"Desheeya Nagar, Laggere Road",Jayamahal,B.C.C,KSA/CR/7/2002-03,05-07-2004,,,,,Declared,0.15,40,550,300,250,100,50,400
A.A.N.Block,Jayamahal,Pvt.,HUD/34/mcs/79,09-05-1984,,,,,Declared,1.17,78,400,200,200,100,100,200
"Sy.38,Gangenahalli",Jayamahal,Pvt.,KSA/CR-5/92-93,25-03-1996,,,,,Declared,1.18,170,1020,520,500,500,250,270
Havadigar Colony,Jayamahal,Railway,KSA/CR-13/98-99,02-05-2001,,,,,Declared,1.16,50,650,350,300,0,0,650
Nethaji Colony,Jayamahal,Railway,KSA/CR-70/2000-01,04-09-2001,,,,,Declared,0.04,36,174,89,85,0,0,174
Opp. Babarsthal,Jayamahal,Pvt.,xxx,1/1/95,,,,,Declared,1.30,240,1440,800,640,300,300,840
"Sy.No.95, K.G.Byadarhalli",Jayamahal,Pvt.,HUD/224/mcs/74,11-12-1974,,,,,Declared,3.00,252,2000,1000,1000,500,300,1200
Syed Khader Garden,Jayamahal,Pvt.,HUD/347/mcs/77,19-05-1979,,,,,Declared,0.16,22,250,150,100,50,100,100
Papanna Garden,Jayamahal,Pvt.,xxx,1/1/90,,,,,Declared,1.18,82,700,450,250,250,200,250
"Sy.95,Chinnappa Garden",Jayamahal,Pvt.,xxx,1/1/90,,,,,Declared,2.34,202,1112,562,550,0,0,1112
"Marappa Garden,Muslim Bariyal graound",Jayamahal,Govt./ Pvt,KSA/CR-80/99-2000,11-05-2001,,,,,Declared,0.38,350,1750,900,850,0,0,1750
Amalur Power House,Jayamahal,Pvt.,KSA/CR-85/84-85,16-04-1986,,,,,Declared,0.35,34,275,140,135,0,0,275
Wahab Garden,Jayamahal,Pvt.,HUD/33/MCS/94,23-02-1995,,,,,Declared,2.10,78,390,200,190,200,100,90
A.M.Trust,Jayamahal,Pvt.,HUD/141/mcs/92,17-04-1999,,,,,Declared,0.35,92,800,500,300,300,200,300
